Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
223.20,2.719,13.8778,5.104
223.40,3.429,17.529,5.112
223.60,3.833,19.6173,5.118
223.80,4.137,21.1235,5.106
224.00,8.166,41.7773,5.116
224.20,2.758,14.1044,5.114
224.40,3.419,17.4574,5.106
224.60,3.857,19.7093,5.11
224.80,4.104,21.0125,5.12
225.00,8.084,41.2769,5.106
225.20,2.85,14.5692,5.112
225.40,3.366,17.2339,5.12
225.60,3.862,19.7194,5.106
225.80,4.088,20.8979,5.112
226.00,8.235,42.1138,5.114
226.20,2.704,13.8174,5.11
226.40,3.433,17.577,5.12
226.60,3.884,19.8861,5.12
226.80,4.078,20.8712,5.118
227.00,8.224,42.0411,5.112
227.20,2.711,13.8749,5.118
227.40,3.438,17.5682,5.11
227.60,3.892,19.8881,5.11
227.80,4.078,20.8549,5.114
228.00,8.193,41.9318,5.118
228.20,2.724,13.9142,5.108
228.40,3.43,17.5273,5.11
228.60,3.931,20.111,5.116
228.80,4.007,20.5078,5.118
229.00,8.169,41.8089,5.118
229.20,2.784,14.2541,5.12
229.40,3.401,17.3927,5.114
229.60,3.942,20.1279,5.106
229.80,4.027,20.5619,5.106
230.00,8.261,42.2633,5.116
230.20,2.682,13.7318,5.12
230.40,3.424,17.5377,5.122
230.60,3.957,20.2203,5.11
230.80,4.013,20.5145,5.112
231.00,8.252,42.2172,5.116
231.20,2.722,13.9094,5.11
231.40,3.448,17.6124,5.108
231.60,3.995,20.4144,5.11
231.80,3.974,20.3071,5.11
232.00,8.226,42.002,5.106
232.20,2.712,13.8692,5.114
232.40,3.436,17.5923,5.12
232.60,4.014,20.5196,5.112
232.80,3.971,20.2918,5.11
233.00,8.196,41.9635,5.12
233.20,2.738,13.9967,5.112
233.40,3.394,17.3501,5.112
233.60,4.013,20.5385,5.118
233.80,3.956,20.1993,5.106
234.00,8.16,41.6976,5.11
234.20,2.769,14.1717,5.118
234.40,3.399,17.3961,5.118
234.60,4.037,20.6694,5.12
234.80,3.917,20.0315,5.114
235.00,8.258,42.281,5.12
235.20,2.708,13.8595,5.118
235.40,3.419,17.5053,5.12
235.60,4.06,20.771,5.116
235.80,3.926,20.0383,5.104
236.00,8.226,42.0349,5.11
236.20,2.691,13.7779,5.12
236.40,3.456,17.6532,5.108
236.60,4.065,20.8047,5.118
236.80,3.881,19.8319,5.11
237.00,8.249,42.1524,5.11
237.20,2.729,13.9725,5.12
237.40,3.402,17.3706,5.106
237.60,4.127,21.0972,5.112
237.80,3.864,19.776,5.118
238.00,8.208,41.9265,5.108
238.20,2.758,14.1154,5.118
238.40,3.402,17.3706,5.106
238.60,4.134,21.133,5.112
238.80,3.831,19.5917,5.114
239.00,8.269,42.2546,5.11
239.20,2.677,13.7009,5.118
239.40,3.458,17.6565,5.106
239.60,4.14,21.1637,5.112
239.80,3.83,19.5943,5.116
240.00,8.257,42.1602,5.106
240.20,2.712,13.8692,5.114
240.40,3.429,17.5496,5.118
240.60,4.141,21.1854,5.116
240.80,3.829,19.5968,5.118
241.00,8.252,42.2502,5.12
241.20,2.694,13.7717,5.112
241.40,3.419,17.4506,5.104
241.60,4.161,21.2794,5.114
241.80,3.82,19.4973,5.104
242.00,8.233,42.1694,5.122
242.20,2.716,13.9059,5.12
242.40,3.42,17.4625,5.106
242.60,4.194,21.4649,5.118
242.80,3.766,19.2141,5.102
243.00,8.273,42.2419,5.106
243.20,2.701,13.8237,5.118
243.40,3.433,17.5426,5.11
243.60,4.222,21.5744,5.11
243.80,3.734,19.0807,5.11
244.00,2.691,13.7402,5.106
244.20,3.44,17.5715,5.108
244.40,4.224,21.5762,5.108
244.60,3.717,18.9641,5.102
244.80,8.267,42.327,5.12
245.00,2.696,13.7873,5.114
245.20,3.451,17.6208,5.106
245.40,4.256,21.7311,5.106
245.60,3.698,18.8746,5.104
245.80,8.273,42.2585,5.108
