Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
210.20,38.831,197.7275,5.092
210.40,27.689,140.9924,5.092
210.60,28.717,146.227,5.092
210.80,27.6,140.5392,5.092
211.00,28.152,143.1248,5.084
211.20,38.853,197.6841,5.088
211.40,27.685,140.9167,5.09
211.60,28.744,146.307,5.09
211.80,27.613,140.5502,5.09
212.00,28.231,143.4135,5.08
212.20,38.746,197.1396,5.088
212.40,27.691,140.8918,5.088
212.60,28.756,146.368,5.09
212.80,27.605,140.6751,5.096
213.00,28.234,143.5417,5.084
213.20,38.751,197.6301,5.1
213.40,27.681,141.1731,5.1
213.60,28.729,146.5179,5.1
213.80,27.594,140.7294,5.1
214.00,28.279,143.8835,5.088
214.20,38.692,197.2518,5.098
214.40,27.7,141.2146,5.098
214.60,28.722,146.3673,5.096
214.80,27.597,140.5791,5.094
215.00,28.314,143.9484,5.084
215.20,38.667,196.815,5.09
215.40,27.671,141.0114,5.096
215.60,28.733,146.5383,5.1
215.80,27.641,140.748,5.092
216.00,28.332,144.2665,5.092
216.20,38.513,196.4933,5.102
216.40,27.643,140.924,5.098
216.60,28.75,146.3375,5.09
216.80,27.592,140.7744,5.102
217.00,28.397,144.3703,5.084
217.20,38.481,195.7913,5.088
217.40,27.624,140.8824,5.1
217.60,28.742,146.6417,5.102
217.80,27.61,140.811,5.1
218.00,28.412,144.6739,5.092
218.20,38.462,196.1562,5.1
218.40,27.68,141.1126,5.098
218.60,28.69,146.1469,5.094
218.80,27.591,140.4382,5.09
219.00,28.452,144.8207,5.09
219.20,38.464,196.0126,5.096
219.40,27.605,140.5094,5.09
219.60,28.676,146.2476,5.1
219.80,27.559,140.3855,5.094
220.00,28.485,144.9887,5.09
220.20,38.364,195.6564,5.1
220.40,27.621,140.7566,5.096
220.60,28.702,146.0932,5.09
220.80,27.568,140.6519,5.102
221.00,28.53,145.2177,5.09
221.20,38.34,195.4573,5.098
221.40,27.626,140.8373,5.098
221.60,28.708,146.3534,5.098
221.80,27.563,140.5162,5.098
222.00,28.554,145.2256,5.086
222.20,38.356,195.3087,5.092
222.40,27.671,140.9561,5.094
222.60,28.727,146.2779,5.092
222.80,27.609,140.585,5.092
223.00,28.606,145.4329,5.084
223.20,38.278,194.9116,5.092
223.40,27.624,140.6614,5.092
223.60,28.722,146.4248,5.098
223.80,27.575,140.3016,5.088
224.00,28.632,145.4506,5.08
224.20,38.244,194.5855,5.088
224.40,27.626,140.7821,5.096
224.60,28.734,146.371,5.094
224.80,27.575,140.5774,5.098
225.00,28.685,145.8345,5.084
