Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
263.60,49.611,252.1231,5.082
263.80,49.204,250.2515,5.086
264.00,49.228,250.1767,5.082
264.20,50.525,256.768,5.082
264.40,51.167,260.0307,5.082
264.60,49.623,251.8864,5.076
264.80,49.154,249.8989,5.084
265.00,49.154,249.7023,5.08
265.20,50.562,257.0572,5.084
265.40,51.265,260.4262,5.08
265.60,49.599,251.8637,5.078
265.80,49.253,249.9097,5.074
266.00,49.216,249.8204,5.076
266.20,50.586,257.078,5.082
266.40,51.265,260.5287,5.082
266.60,49.599,252.1613,5.084
266.80,49.154,249.8006,5.082
267.00,49.216,249.9189,5.078
267.20,50.525,256.4649,5.076
267.40,51.241,260.0993,5.076
267.60,49.574,251.7368,5.078
267.80,49.204,249.8579,5.078
268.00,49.228,250.1767,5.082
268.20,50.648,257.4944,5.084
268.40,51.315,260.8855,5.084
268.60,49.549,251.808,5.082
268.80,49.216,249.722,5.074
269.00,49.228,250.0782,5.08
269.20,50.562,256.9561,5.082
269.40,51.302,260.7167,5.082
269.60,49.525,251.488,5.078
269.80,49.179,249.731,5.078
270.00,49.241,250.0458,5.078
270.20,50.611,256.9015,5.076
270.40,51.327,260.7411,5.08
270.60,49.611,252.2223,5.084
270.80,49.228,250.2752,5.084
271.00,49.204,249.6611,5.074
271.20,50.562,256.8549,5.08
271.40,51.352,261.0736,5.084
271.60,49.5,251.658,5.084
271.80,49.179,249.6326,5.076
272.00,49.142,249.5431,5.078
272.20,50.549,256.89,5.082
272.40,51.426,261.4498,5.084
272.60,49.488,251.2011,5.076
272.80,49.179,249.731,5.078
273.00,49.278,250.4308,5.082
273.20,50.586,257.078,5.082
273.40,51.364,260.7237,5.076
273.60,49.525,251.3889,5.076
273.80,49.228,250.1767,5.082
274.00,49.191,249.8903,5.08
274.20,50.586,256.9769,5.08
274.40,51.376,260.9901,5.08
274.60,49.512,251.719,5.084
274.80,49.179,249.9277,5.082
275.00,49.265,250.4633,5.084
275.20,50.574,257.0171,5.082
275.40,51.426,261.1412,5.078
275.60,49.451,251.1122,5.078
275.80,49.228,250.2752,5.084
276.00,49.228,250.2752,5.084
276.20,50.586,257.078,5.082
276.40,51.426,261.2441,5.08
276.60,49.475,251.4319,5.082
276.80,49.167,249.7684,5.08
277.00,49.191,249.8903,5.08
277.20,50.623,257.3673,5.084
277.40,51.45,261.4689,5.082
277.60,49.401,250.8583,5.078
277.80,49.241,250.3412,5.084
278.00,49.179,249.731,5.078
278.20,50.586,257.078,5.082
278.40,51.475,261.2871,5.076
278.60,49.401,251.0559,5.082
278.80,49.167,249.5717,5.076
279.00,49.204,250.0547,5.082
279.20,50.549,256.6878,5.078
279.40,51.45,261.5718,5.084
279.60,49.475,251.1351,5.076
279.80,49.191,250.0871,5.084
280.00,49.179,249.731,5.078
280.20,50.623,257.4686,5.086
280.40,51.45,261.366,5.08
280.60,49.426,251.0841,5.08
280.80,49.191,249.8903,5.08
281.00,49.179,250.1244,5.086
281.20,50.574,256.8148,5.078
281.40,51.475,261.493,5.08
281.60,49.389,251.0937,5.084
281.80,49.191,250.0871,5.084
282.00,49.204,250.0547,5.082
282.20,50.636,257.2309,5.08
282.40,51.463,261.535,5.082
282.60,49.451,251.0133,5.076
282.80,49.191,250.0871,5.084
283.00,49.167,249.67,5.078
283.20,50.586,256.7745,5.076
283.40,51.5,261.723,5.082
283.60,49.377,250.5389,5.074
283.80,49.228,250.1767,5.082
284.00,49.191,249.6935,5.076
284.20,50.574,257.0171,5.082
284.40,51.512,261.681,5.08
284.60,49.451,251.31,5.082
284.80,49.216,249.722,5.074
285.00,49.253,250.3037,5.082
285.20,50.586,256.8757,5.078
285.40,51.524,261.8449,5.082
285.60,49.401,251.1547,5.084
285.80,49.204,249.7595,5.076
286.00,49.154,249.8006,5.082
286.20,50.599,257.1441,5.082
